,open,high,low,close,volume
2024-01-02 04:00:00,162.077,162.806,162.068,162.606,763
2024-01-02 05:00:00,162.701,162.716,162.395,162.418,124
2024-01-02 06:00:00,162.414,162.429,161.741,161.922,319
2024-01-02 07:00:00,161.869,162.112,161.364,161.417,1014
2024-01-02 08:00:00,162.077,162.429,161.235,161.397,29870
2024-01-02 09:00:00,161.383,162.092,160.77,160.961,382705
2024-01-02 10:00:00,160.907,161.085,159.726,160.336,497054
2024-01-02 11:00:00,160.303,160.883,160.294,160.842,313576
2024-01-02 12:00:00,160.828,160.858,160.343,160.372,291015
2024-01-02 13:00:00,160.352,160.368,159.64,159.771,332706
2024-01-02 14:00:00,159.748,159.793,159.006,159.078,380142
2024-01-02 15:00:00,159.054,160.199,159.035,160.079,768833
2024-01-02 16:00:00,160.065,160.536,159.442,160.138,2041557
2024-01-02 17:00:00,160.045,160.358,160.036,160.237,1784
2024-01-02 18:00:00,160.224,160.239,159.907,159.93,608325
2024-01-02 19:00:00,160.045,160.258,159.838,159.861,608041
2024-01-03 04:00:00,159.53,159.723,159.422,159.444,28
2024-01-03 05:00:00,159.471,159.495,159.442,159.474,31
2024-01-03 06:00:00,159.471,159.674,159.194,159.672,168
2024-01-03 07:00:00,159.55,159.842,159.343,159.563,468
2024-01-03 08:00:00,159.659,160.06,159.263,159.563,1561
2024-01-03 09:00:00,159.679,160.164,159.402,160.098,225164
2024-01-03 10:00:00,160.045,160.288,159.362,159.395,303223
2024-01-03 11:00:00,159.381,159.852,159.367,159.672,281614
2024-01-03 12:00:00,159.659,159.723,159.194,159.386,396151
2024-01-03 13:00:00,159.352,159.446,159.105,159.276,246526
2024-01-03 14:00:00,159.243,159.476,159.025,159.316,289490
2024-01-03 15:00:00,159.292,159.307,158.629,158.691,863900
2024-01-03 16:00:00,158.678,159.317,158.56,159.048,3128123
2024-01-03 17:00:00,159.034,159.049,158.665,158.691,896
2024-01-03 18:00:00,158.856,159.02,158.649,159.018,827089
2024-01-03 19:00:00,158.658,159.02,158.649,158.919,826922
2024-01-04 04:00:00,158.658,158.97,158.649,158.969,20
2024-01-04 05:00:00,159.203,159.287,158.698,158.929,40
2024-01-04 06:00:00,158.846,158.861,158.659,158.681,13
2024-01-04 07:00:00,158.707,158.93,158.698,158.929,261
2024-01-04 08:00:00,158.807,159.317,158.471,158.85,1355
2024-01-04 09:00:00,158.935,159.763,158.718,159.316,258323
2024-01-04 10:00:00,159.213,160.303,159.164,160.148,392860
2024-01-04 11:00:00,160.134,160.358,159.868,159.95,278542
2024-01-04 12:00:00,159.926,160.179,159.719,159.97,253405
2024-01-04 13:00:00,159.946,160.179,159.927,160.089,187003
2024-01-04 14:00:00,160.075,160.368,159.967,160.287,190700
2024-01-04 15:00:00,160.276,160.298,159.343,159.434,769229
2024-01-04 16:00:00,159.411,160.04,159.402,159.662,2186242
2024-01-04 17:00:00,159.55,159.684,159.437,159.474,2061
2024-01-04 18:00:00,159.461,159.723,159.402,159.514,654402
2024-01-04 19:00:00,159.411,159.743,159.402,159.524,654761
2024-01-05 04:00:00,157.479,157.86,157.172,157.581,1796
2024-01-05 05:00:00,157.518,157.553,157.39,157.413,143
2024-01-05 06:00:00,157.389,157.424,157.242,157.264,1116
2024-01-05 07:00:00,157.35,158.366,157.341,158.047,4477
2024-01-05 08:00:00,157.667,159.763,155.557,157.502,13584
2024-01-05 09:00:00,157.35,158.821,157.341,158.057,448547
2024-01-05 10:00:00,158.083,159.119,158.059,158.691,415751
2024-01-05 11:00:00,158.688,158.789,157.926,157.987,282497
2024-01-05 12:00:00,157.974,158.202,157.737,157.809,275948
2024-01-05 13:00:00,157.806,158.167,157.44,158.067,239208
